name,year,selling_price_inr,km_driven,fuel,seller_type,transmission,owner,seats,engine_cc,max_power_bhp,brand
Chevrolet Beat LS,2010.0,135000.0,49700.0,Petrol,Individual,Manual,First Owner,5,1199.0,79.4,Chevrolet
Tata Safari Storme VX,2015.0,925000.0,60000.0,Diesel,Individual,Manual,First Owner,7,2179.0,138.1,Tata
Mahindra XUV500 AT W10 FWD,2016.0,1275000.0,56000.0,Diesel,Dealer,Automatic,First Owner,7,2179.0,140.0,Mahindra
Toyota Innova 2.5 G (Diesel) 7 Seater,2015.0,950000.0,190000.0,Diesel,Individual,Manual,Second Owner,7,2494.0,100.6,Toyota
Ford Ecosport 2015-2021 1.5 Petrol Titanium BSIV,2018.0,860000.0,40000.0,Petrol,Individual,Manual,First Owner,5,1497.0,121.31,Ford
Fiat Punto EVO 1.3 Dynamic,2016.0,350000.0,51000.0,Diesel,Dealer,Manual,First Owner,5,1248.0,91.7,Fiat
Volkswagen Ameo 1.5 TDI Highline,2017.0,550000.0,47700.0,Diesel,Individual,Manual,First Owner,5,1498.0,108.62,Volkswagen
Volkswagen Polo GT TSI,2015.0,699000.0,30000.0,Petrol,Individual,Automatic,First Owner,5,1197.0,103.6,Volkswagen
Volkswagen Tiguan 2.0 TDI Highline,2017.0,2400000.0,80000.0,Diesel,Individual,Automatic,First Owner,5,1968.0,141.0,Volkswagen
Maruti Ertiga VXI ABS,2013.0,665000.0,36000.0,Petrol,Dealer,Manual,First Owner,7,1373.0,93.7,Maruti
Mahindra XUV500 W8 2WD,2013.0,900000.0,85036.0,Diesel,Dealer,Manual,Second Owner,7,2179.0,140.0,Mahindra
Skoda Fabia 1.6 MPI Elegance,2013.0,280000.0,50000.0,Petrol,Individual,Manual,First Owner,5,1598.0,105.0,Skoda
Ford Figo Diesel ZXI,2013.0,375000.0,45500.0,Diesel,Dealer,Manual,First Owner,5,1399.0,68.05,Ford
MG Hector Sharp Diesel MT,2020.0,1825000.0,12500.0,Diesel,Dealer,Manual,First Owner,5,1956.0,167.68,MG
Skoda Rapid 1.5 TDI AT Style BSIV,2018.0,990000.0,60000.0,Diesel,Dealer,Automatic,First Owner,5,1498.0,108.6,Skoda
Honda City i VTEC SV,2014.0,625000.0,53000.0,Petrol,Dealer,Manual,First Owner,5,1497.0,117.3,Honda
Honda Jazz 1.2 V AT i VTEC,2015.0,600000.0,80000.0,Petrol,Individual,Automatic,First Owner,5,1199.0,88.7,Honda
Hyundai i20 Asta 1.4 CRDi,2014.0,545000.0,66266.0,Diesel,Dealer,Manual,First Owner,5,1396.0,88.76,Hyundai
Mahindra Scorpio M2DI,2014.0,650000.0,90000.0,Diesel,Individual,Manual,First Owner,5,2179.0,115.0,Mahindra
Maruti Swift AMT DDiS ZDI,2018.0,760000.0,30000.0,Diesel,Dealer,Manual,First Owner,5,1248.0,74.0,Maruti
Volkswagen CrossPolo 1.5 TDI,2014.0,300000.0,84000.0,Diesel,Individual,Manual,Second Owner,5,1498.0,88.5,Volkswagen
Tata Hexa XE,2019.0,1250000.0,15000.0,Diesel,Individual,Manual,First Owner,7,2179.0,147.94,Tata
Honda City 1.5 V MT,2010.0,300000.0,100000.0,Petrol,Individual,Manual,Third Owner,5,1497.0,118.0,Honda
Datsun RediGO T Option,2017.0,235000.0,22558.0,Petrol,Dealer,Manual,First Owner,5,799.0,53.64,Datsun
Toyota Etios GD,2015.0,395000.0,160000.0,Diesel,Individual,Manual,First Owner,5,1364.0,67.05,Toyota
